gvkey,datadate,ticker,cusip,conm,saleq,revtq,cogsq,xsgaq,oiadpq,txtq,piq,atq,gross_margin,marketing_effi,roic,adj_price,rev_growth_yoy
001327,2011-03-31,SWKS,83088M102,SKYWORKS SOLUTIONS INC,325.411,325.411,170.137,71.08,68.263,17.525,67.485,1678.797,0.4771627265212301,4.578095104108047,0.7488473475749106,32.4,0.36693998941434436
014108,2011-03-31,CYBE,232517102,CYBEROPTICS CORP,13.35,13.35,6.145,5.475,1.087,0.327,1.173,58.007,0.5397003745318352,2.4383561643835616,0.6683498930540748,8.67,0.08175998703508625
014170,2011-03-31,SEV.4,81783K108,SEVCON INC,7.787,7.787,4.929,2.481,0.207,0.08,0.585,21.472,0.36702195967638374,3.1386537686416767,0.305456936226167,,0.2618700372711067
027965,2011-03-31,MCHP,595017104,MICROCHIP TECHNOLOGY INC,379.985,379.985,127.935,101.044,124.547,-10.583,120.029,2968.058,0.6633156571969946,3.760589446181861,1.1291300742420058,19.005,0.3667541903460183
028206,2011-03-31,RMTR,751907304,RAMTRON INTERNATIONAL CORP,10.644,10.644,4.895,8.647,-3.464,-1.355,-3.733,54.953,0.5401164975573093,1.2309471493003354,0.5911174142136557,2.16,-0.32836951034830897
028386,2011-03-31,EZCH,M4146Y108,EZCHIP SEMICONDUCTOR LTD,13.179,13.179,2.828,7.343,2.558,1.411,2.884,228.875,0.7854161924273465,1.7947705297562304,0.45301520080178365,29.645,-0.03010008831321742
028938,2011-03-31,UTEK,904034105,ULTRATECH INC,47.379,47.379,22.751,15.543,8.166,0.3,8.167,295.665,0.5198083539120707,3.048253232966609,0.963148859213244,29.4,0.7226847980220339
029274,2011-03-31,ATMI.1,00207R101,ATMI INC,100.724,100.724,45.892,36.433,11.658,3.951,11.958,547.833,0.5443786982248521,2.7646364559602556,0.6527949428619838,,0.18066837805206837
029386,2011-03-31,TQNT,89674K103,TRIQUINT SEMICONDUCTOR INC,224.323,224.323,121.688,67.104,20.29,7.686,20.125,1002.451,0.45753221916611314,3.342915474487363,0.6231545017553335,12.91,0.24046384056448322
029722,2011-03-31,DSPG,23332B106,DSP GROUP INC,48.776,48.776,33.744,21.279,-6.247,-0.624,-5.188,219.927,0.30818435296047236,2.2922129799332676,1.0592956939357714,7.7,-0.13069204583934835
063600,2011-03-31,CYMI,232572107,CYMER INC,154.399,154.399,70.667,43.856,35.657,7.656,36.455,824.658,0.542309211847227,3.5205901130974095,0.7726948251406012,56.58,0.3569840307256922
064766,2011-03-31,RMBS,750917106,RAMBUS INC,62.527,62.527,54.416,,3.329,6.776,2.546,659.159,0.129719960976858,,-2.1723878437226363,19.75,-0.6137065684772401
001166,2011-03-31,ASMIY,N07045102,ASM INTERNATIONAL NV,612.981,612.981,360.93,101.875,132.92,17.468,117.028,2209.463,0.41118892755240377,6.0169914110429445,0.9662636776122113,,1.068854838165311
116526,2011-03-31,CNXT.1,207142308,CONEXANT SYSTEMS INC,43.129,43.129,18.239,25.663,-1.725,0.316,-18.145,267.051,0.5771058916274433,1.6805907337411838,0.0967231377073984,,-0.3028867912329476
